hours_studied,attendance_percentage,assignments_completed,previous_exam_score,sleep_hours,extracurricular_hours,tutoring_sessions,parental_support_score,screen_time_hours,motivation_level,class_participation_score,final_marks
5.46,77.25,1,50.55,6.85,0.53,2,10,2.13,3,3,68.26
9.41,99.23,8,48.62,6.17,2.86,2,10,1.21,7,3,100.0
3.86,96.87,12,53.29,6.15,2.5,6,1,5.61,6,4,88.47
9.61,52.16,14,69.02,7.18,4.28,3,9,2.06,4,9,100.0
9.05,58.24,2,79.49,7.51,2.65,3,4,7.38,5,8,96.84
1.96,56.59,10,76.38,8.78,1.28,2,5,1.03,10,1,74.6
0.69,86.3,20,86.54,6.05,3.38,8,2,2.55,2,1,91.02
1.01,90.89,13,92.01,8.83,2.71,1,10,0.44,7,7,100.0
0.18,60.68,7,87.13,6.03,1.17,3,8,5.63,4,3,67.56
0.94,75.29,17,31.33,4.33,2.87,7,2,7.13,2,7,65.18
6.83,92.04,18,81.51,7.33,4.11,5,3,5.09,6,9,100.0
0.71,86.64,15,44.59,7.53,0.14,6,9,7.5,2,3,61.84
3.19,77.11,1,39.3,9.61,3.15,6,2,1.03,10,3,61.68
8.45,79.52,7,74.69,8.36,1.75,1,6,0.7,2,2,91.39
0.23,75.42,5,52.38,9.51,1.46,3,4,6.71,7,10,69.48
8.14,64.88,11,34.0,9.45,1.96,5,7,6.84,1,1,73.41
2.82,78.25,14,39.63,7.63,1.71,2,6,6.65,7,9,85.8
1.18,84.44,7,30.07,7.17,4.16,8,10,6.39,10,6,79.22
6.97,93.67,3,93.23,7.34,1.37,3,9,2.9,5,6,93.58
6.29,81.81,14,31.72,9.87,3.67,1,9,1.74,1,8,79.59
8.77,88.06,19,44.66,8.64,0.47,5,10,7.43,6,5,100.0
7.35,58.0,16,59.14,4.64,4.76,0,4,2.46,7,9,91.0
8.03,73.08,12,54.96,8.67,3.11,5,1,3.19,1,5,84.5
2.82,50.47,17,93.82,5.02,3.53,0,2,5.6,9,2,77.74
1.77,62.33,1,32.82,6.68,1.49,7,8,2.35,7,6,70.83
7.51,86.32,12,65.86,5.26,2.06,4,10,6.55,1,9,95.7
8.07,99.59,12,77.63,8.14,1.12,5,8,0.56,3,3,100.0
9.91,54.96,14,95.22,9.26,4.66,1,2,6.33,5,10,100.0
4.13,70.07,19,73.43,5.74,2.44,1,4,4.81,4,4,92.34
3.72,90.0,9,86.26,4.49,3.15,8,1,4.58,2,10,95.01
7.76,60.2,2,35.86,5.79,3.67,2,7,3.67,1,8,65.29
3.41,77.75,18,57.02,8.03,1.86,5,4,2.22,4,6,81.45
9.31,86.65,2,56.18,5.97,3.6,4,8,3.71,7,7,90.0
8.58,80.8,13,92.04,5.67,3.38,3,9,3.6,4,7,100.0
4.29,59.4,7,40.6,5.11,3.53,1,9,4.67,9,4,71.53
7.51,67.77,3,40.63,6.99,2.45,7,3,2.25,8,6,85.76
7.55,89.19,19,53.0,5.66,1.91,6,5,0.62,8,9,100.0
1.03,77.71,10,33.81,8.39,1.11,1,6,1.16,5,3,65.36
9.03,50.26,10,42.77,4.46,4.12,5,6,5.59,1,8,72.91
5.05,88.05,10,97.56,7.98,3.04,7,10,0.18,9,7,100.0
8.26,51.77,1,59.97,5.43,2.22,6,8,6.85,2,4,67.66
3.2,87.29,16,74.24,6.94,4.72,0,6,5.56,6,10,83.27
8.96,60.12,8,80.83,5.72,0.24,4,6,6.14,10,3,95.28
3.89,97.9,1,55.69,8.34,4.25,1,4,6.69,5,7,71.59
0.11,68.4,14,40.31,9.67,4.99,5,7,0.98,10,10,73.86
9.05,66.35,15,44.46,9.5,4.43,6,8,6.58,8,9,100.0
0.91,57.44,3,51.93,7.5,4.05,6,3,4.04,3,10,54.58
3.19,65.28,7,74.52,6.78,1.87,2,7,7.08,6,3,75.63
9.5,93.83,8,57.88,8.91,1.16,6,3,7.09,6,10,100.0
9.51,99.82,4,30.48,8.1,3.67,4,8,0.19,10,9,99.81
5.73,68.42,15,66.64,5.1,1.52,7,1,3.06,3,8,87.78
6.32,72.43,12,94.51,8.93,0.88,7,1,4.21,7,3,100.0
4.48,86.1,6,86.85,6.57,3.93,6,6,5.43,4,8,89.11
2.93,94.31,19,87.76,5.13,1.56,5,10,2.29,5,4,98.1
3.29,79.65,16,85.65,5.69,4.57,1,9,2.02,9,6,100.0
6.73,69.58,2,52.66,5.61,4.2,5,4,3.05,6,10,77.82
7.52,70.63,4,83.56,7.12,4.24,8,6,4.01,10,2,100.0
7.92,84.78,18,40.02,5.41,3.86,1,5,7.61,4,8,91.66
7.9,50.16,11,76.04,4.74,4.4,0,1,6.1,8,9,88.34
0.91,80.98,6,74.91,4.74,4.03,4,6,3.43,9,7,84.68
4.94,67.77,8,31.79,7.5,3.01,5,9,0.43,10,8,80.66
0.58,89.71,5,85.16,8.41,1.48,2,3,1.35,5,7,82.46
5.5,54.65,16,93.23,5.93,4.44,7,3,3.65,2,10,100.0
4.42,79.41,15,48.72,4.21,4.2,6,2,6.51,6,4,77.86
8.88,74.05,2,86.87,4.76,2.36,1,4,3.05,8,1,88.92
3.51,82.12,20,35.77,9.49,0.2,6,10,4.31,5,3,88.48
1.17,53.24,3,72.0,6.96,3.19,0,3,7.13,1,7,62.66
1.43,79.0,9,64.0,6.72,0.25,8,2,7.31,8,7,79.57
7.62,78.07,4,68.21,4.23,4.63,6,1,1.73,9,3,87.29
6.18,78.03,20,94.83,8.37,4.81,5,3,0.35,1,1,100.0
1.01,80.17,9,90.99,7.17,0.95,1,10,2.44,8,10,92.36
0.84,83.82,11,84.96,5.21,3.38,2,6,5.57,10,9,92.86
7.01,90.25,9,49.16,4.66,0.46,0,9,7.61,2,6,87.38
0.73,63.49,12,93.83,6.3,3.65,4,5,0.62,4,7,72.73
8.22,91.25,10,36.83,9.02,1.74,8,3,0.23,2,1,86.43
7.06,74.91,15,89.73,9.19,3.41,5,5,7.07,2,1,95.27
0.81,53.85,7,52.97,7.62,1.86,4,5,5.99,10,4,60.69
0.85,52.93,7,33.76,8.37,0.73,2,5,7.94,3,7,40.1
9.87,66.71,7,76.85,4.69,2.03,4,7,3.17,8,8,96.07
3.74,89.24,12,46.19,7.53,0.56,7,5,3.33,4,10,87.3
3.71,85.38,1,47.05,8.0,2.88,1,7,1.38,7,9,71.69
8.13,89.43,11,51.42,5.2,0.2,4,9,0.93,10,1,96.08
9.47,75.86,9,34.46,9.28,2.64,5,5,4.63,3,4,84.41
9.86,72.01,11,42.4,5.17,4.43,7,2,2.91,10,4,92.06
7.53,57.37,10,30.36,5.88,4.19,7,5,0.64,3,3,80.54
3.76,66.41,14,61.18,7.72,4.41,4,8,7.1,2,7,75.56
0.84,71.7,15,35.9,7.83,4.61,8,4,1.59,6,1,76.13
7.77,54.43,16,77.79,8.2,0.52,3,2,5.99,6,9,98.26
5.58,61.03,1,46.49,4.67,0.64,8,10,2.26,1,8,69.71
4.24,79.91,17,96.05,9.1,2.79,6,3,6.5,7,2,97.64
9.06,86.78,11,90.99,7.2,4.47,5,9,0.95,4,2,100.0
1.11,99.92,18,50.26,6.83,4.87,3,9,6.05,3,8,84.38
4.93,96.66,17,84.83,9.89,0.23,1,8,0.78,8,1,100.0
0.11,82.13,16,86.23,8.44,1.78,7,8,3.58,2,7,90.08
4.69,71.06,5,99.06,4.71,1.06,5,8,5.87,9,9,87.74
0.56,81.81,14,71.85,8.54,3.78,2,8,1.39,8,3,76.63
1.19,89.28,2,35.74,4.57,3.2,6,8,2.29,8,7,64.73
1.18,55.92,5,75.28,4.16,0.6,6,1,6.92,3,6,59.05
6.49,70.5,2,73.75,6.42,2.42,5,6,7.08,4,7,89.32
7.46,91.99,0,74.68,9.96,3.43,1,9,0.36,2,7,80.48
5.83,69.19,12,51.5,5.05,3.9,7,8,1.34,2,10,80.01
9.62,78.59,20,90.18,8.04,0.1,0,3,0.94,4,1,100.0
3.75,79.39,13,97.16,5.04,4.45,0,1,1.44,6,3,88.63
2.86,59.22,12,45.24,8.35,2.85,5,2,7.76,5,10,69.09
8.69,68.11,3,36.17,7.03,4.06,4,2,4.41,1,1,75.27
2.24,66.73,6,43.62,8.08,4.04,8,7,3.74,10,5,78.77
9.63,51.31,9,87.44,5.22,0.95,6,6,7.88,1,3,97.92
0.12,51.21,6,77.37,8.47,0.55,1,2,4.46,6,1,59.1
9.7,91.58,20,74.52,9.97,3.61,6,8,5.29,3,2,100.0
0.43,63.65,14,58.13,7.99,0.78,2,9,2.66,3,10,70.95
8.91,75.9,14,70.45,6.96,4.25,0,7,3.06,7,5,100.0
5.28,64.94,3,51.55,9.54,3.63,7,4,4.76,1,3,71.72
9.93,97.03,5,63.4,4.1,4.21,2,1,0.56,1,6,87.15
0.74,62.96,19,85.51,8.38,1.5,7,4,2.05,10,9,100.0
5.54,71.48,4,98.69,9.33,1.58,6,4,1.57,3,6,98.62
9.69,93.64,19,95.27,4.37,3.36,1,8,0.13,8,2,100.0
5.23,92.1,11,95.37,6.7,0.16,0,4,4.3,1,2,86.74
6.29,59.31,0,58.16,5.23,3.63,6,4,4.49,10,8,83.27
6.96,90.13,7,62.82,7.4,4.18,0,2,3.07,4,8,75.6
4.55,72.91,0,79.39,7.9,2.08,5,10,2.15,9,6,92.91
6.28,74.15,4,94.55,5.82,3.82,7,7,5.22,4,10,92.34
5.84,56.67,5,39.94,6.76,0.87,6,4,1.08,10,7,84.87
9.01,54.03,20,51.3,5.68,1.61,3,6,4.15,8,1,100.0
0.45,86.4,2,39.75,6.22,4.87,0,3,6.14,7,9,52.2
2.81,74.82,14,72.84,4.96,4.93,0,7,1.31,3,5,71.07
9.5,71.84,4,51.44,9.31,2.56,3,6,6.03,7,9,90.61
8.9,86.48,13,52.83,4.06,4.67,4,3,6.09,7,2,90.13
4.56,88.28,17,34.96,9.29,2.61,6,4,0.48,10,8,98.77
6.2,57.95,15,54.49,7.43,1.46,3,10,0.15,3,7,89.19
2.77,80.51,5,90.37,5.99,1.33,0,5,7.79,2,4,71.0
1.88,56.77,13,46.32,8.34,4.65,6,9,1.55,9,3,77.19
4.64,87.57,7,78.66,7.05,0.86,1,6,6.58,1,4,73.5
3.53,82.85,6,74.07,6.99,2.9,1,4,4.49,7,4,83.06
5.84,97.83,7,90.44,4.66,2.78,7,7,2.12,4,10,100.0
0.78,53.45,12,39.26,6.34,3.7,4,2,1.04,2,10,52.3
9.74,52.85,5,98.43,5.45,2.5,1,4,3.97,2,8,84.72
9.86,64.11,17,70.78,4.09,1.36,4,5,3.26,8,4,100.0
6.98,63.09,1,99.68,6.16,0.85,7,4,5.59,7,5,89.16
5.36,62.35,7,93.81,4.54,3.1,5,4,7.23,7,2,80.22
3.1,95.31,10,45.51,5.54,3.59,2,9,6.44,5,4,67.29
8.14,62.48,0,33.93,4.56,2.85,7,2,2.2,10,7,77.52
6.85,63.6,5,47.89,4.61,3.69,8,6,7.03,8,3,77.86
1.63,87.97,15,66.93,5.19,0.71,4,8,6.67,2,1,78.24
9.11,72.49,19,42.01,10.0,4.41,1,8,7.43,2,8,88.84
8.23,88.84,11,41.72,4.01,2.91,1,7,3.67,5,8,81.98
9.5,53.27,10,62.38,7.83,0.63,6,10,6.15,1,6,91.74
7.26,74.38,9,32.33,4.85,2.31,0,4,4.73,6,7,68.87
6.13,51.68,2,38.53,9.52,4.22,1,7,2.48,4,10,69.91
4.18,53.13,12,59.11,4.56,4.49,3,10,7.96,6,2,64.8
9.33,95.32,2,34.42,9.73,1.32,0,6,0.31,7,5,75.43
8.66,56.96,14,57.77,7.67,3.56,3,6,1.3,3,7,82.79
0.45,76.62,15,63.18,4.01,0.5,4,2,7.14,8,9,75.97
0.26,70.55,12,61.59,9.36,0.17,8,8,0.48,7,1,78.89
3.76,67.37,16,90.84,7.13,2.8,0,8,7.09,1,3,83.16
8.11,94.99,2,67.1,5.58,3.47,4,7,5.72,6,6,89.92
9.87,51.09,19,62.76,8.6,3.98,1,9,0.29,7,7,100.0
1.5,83.19,10,58.75,9.56,1.7,8,8,3.43,4,6,89.47
5.94,98.17,20,87.23,6.9,0.03,5,9,6.04,2,1,100.0
3.81,78.01,18,92.65,5.89,2.4,1,9,4.66,10,4,100.0
9.7,96.84,10,89.73,8.73,0.08,2,6,7.49,9,6,100.0
8.42,52.61,15,77.15,8.09,0.46,7,2,6.94,7,8,100.0
8.38,70.94,20,39.62,9.33,1.63,0,7,2.66,1,10,86.86
4.69,63.01,2,49.38,8.16,2.19,2,3,0.68,8,4,70.27
4.15,86.54,5,33.22,5.46,1.4,0,7,7.55,3,7,58.02
2.73,99.06,13,95.16,9.59,2.91,7,9,4.14,4,3,96.27
0.56,62.83,17,76.26,4.63,0.28,0,10,0.6,5,8,73.45
8.65,82.71,16,82.25,5.61,0.72,4,10,6.53,1,1,100.0
8.13,59.9,3,51.81,7.12,3.48,3,2,6.95,6,4,74.5
10.0,78.27,14,89.2,7.39,0.71,6,6,5.12,10,8,100.0
9.97,73.2,10,48.17,4.09,3.2,4,6,3.58,6,10,93.69
5.55,98.6,2,30.12,8.68,0.27,7,9,5.3,2,4,65.63
7.69,80.43,2,56.35,6.17,2.04,0,9,5.65,10,2,85.4
9.45,67.48,15,69.95,6.44,0.89,4,5,7.14,6,2,96.97
8.5,55.7,4,63.51,8.86,0.55,3,5,7.65,8,4,89.7
2.47,57.56,20,90.35,6.28,2.84,2,9,4.11,6,4,91.74
4.51,61.27,9,37.38,4.28,4.64,4,8,6.39,4,2,66.97
1.29,62.55,18,68.77,5.06,0.27,2,7,7.72,4,7,76.45
9.54,92.53,3,65.91,9.74,2.11,7,8,1.21,9,6,100.0
6.06,78.06,18,49.7,4.42,3.54,2,6,0.15,6,3,92.49
2.29,76.17,10,87.56,6.13,2.31,0,3,6.95,8,8,82.32
6.72,55.74,1,82.7,7.02,4.03,8,7,1.56,8,8,97.28
6.18,93.01,9,81.3,6.96,0.9,8,8,0.34,7,1,100.0
3.58,86.14,10,91.33,4.02,4.8,5,8,1.28,3,3,89.12
1.14,53.38,19,80.59,7.01,1.93,0,1,3.07,10,5,89.41
6.72,85.39,15,46.23,6.3,1.71,7,7,1.75,1,2,90.77
5.2,77.18,18,79.39,9.83,4.37,1,3,2.44,5,5,91.76
7.72,54.09,10,51.54,4.95,2.82,8,2,7.8,10,10,93.43
5.2,72.92,13,46.95,6.12,2.58,7,2,5.64,10,3,78.84
8.52,74.23,1,35.11,6.52,3.63,2,8,5.7,2,9,71.71
5.52,58.29,4,82.08,6.34,2.9,4,9,0.76,10,1,84.35
5.61,97.28,4,79.77,7.99,0.81,8,3,5.86,2,4,92.05
8.77,92.5,18,46.41,5.29,3.37,0,3,5.91,7,10,97.25
4.03,83.45,20,82.46,5.33,0.67,8,6,5.28,3,6,100.0
1.34,73.11,11,94.25,8.38,4.03,3,10,1.83,8,9,99.19
0.29,70.59,17,37.56,7.0,4.95,3,1,3.38,9,3,63.23
7.55,82.55,3,46.28,6.49,1.89,3,6,6.77,8,3,78.61
6.2,77.27,16,82.52,5.02,2.22,8,3,5.36,6,5,100.0
7.04,53.11,9,49.22,5.13,0.23,5,4,5.86,5,7,74.47
2.13,75.63,19,73.73,4.06,0.07,7,9,4.7,3,5,89.68
1.36,90.32,5,35.68,4.55,4.61,3,3,3.6,3,8,58.37
0.15,72.96,13,61.65,7.34,0.64,2,1,6.07,7,5,70.2
3.51,52.6,10,81.74,9.35,2.23,0,3,0.54,5,7,81.33
5.9,89.31,10,78.06,5.72,4.08,6,7,5.39,6,6,90.36
3.92,60.07,17,87.06,5.97,4.45,3,7,7.98,6,10,87.15
4.37,62.93,17,91.42,4.69,2.6,7,5,6.24,9,2,92.58
9.04,58.24,10,84.12,6.33,2.83,2,1,2.32,1,3,86.88
3.48,66.51,20,77.01,4.22,3.35,0,8,2.22,8,4,89.19
5.14,87.84,11,32.22,9.51,4.81,4,10,5.34,10,5,75.7
7.84,75.97,4,67.45,8.04,3.01,1,8,7.17,5,9,98.32
3.97,60.24,8,32.64,9.94,2.8,2,10,4.62,6,6,59.19
6.22,93.89,8,86.56,9.3,0.07,5,10,4.22,6,1,100.0
8.62,93.98,9,52.45,6.84,0.4,2,10,1.28,1,3,93.11
9.5,93.53,18,69.37,7.12,2.89,2,2,5.72,3,7,100.0
1.47,61.94,0,49.56,5.14,4.68,5,10,5.62,6,8,65.25
9.27,72.56,6,84.78,6.77,4.33,4,3,7.74,9,7,96.39
4.92,99.25,3,92.06,9.42,4.91,8,4,2.4,6,5,100.0
2.58,88.6,0,57.9,4.31,2.64,0,1,6.05,6,10,53.74
4.59,51.36,14,90.4,9.18,3.94,2,4,3.47,1,8,90.7
9.8,53.26,7,48.7,6.05,4.2,2,5,4.47,9,9,88.42
4.93,73.2,11,67.43,9.4,3.24,5,3,6.53,4,7,77.11
3.29,95.46,17,90.11,9.65,1.69,7,10,1.78,2,9,100.0
6.33,76.94,14,52.81,8.03,2.35,2,2,2.74,1,1,84.41
2.4,74.89,16,96.78,7.99,4.29,2,6,6.19,3,9,86.57
0.76,55.27,13,38.53,6.72,1.49,5,8,4.56,3,3,58.64
1.29,82.84,13,31.28,9.01,4.62,7,7,0.74,5,6,71.48
1.28,91.11,17,93.29,9.77,1.15,5,1,3.44,1,8,88.04
1.52,69.02,19,34.81,8.65,3.75,2,4,4.69,7,3,64.26
1.39,88.78,17,99.43,7.73,3.15,3,3,7.28,1,4,82.59
6.41,98.22,15,96.6,7.64,3.75,0,6,1.51,4,7,100.0
1.82,60.19,0,39.59,9.1,2.19,7,9,6.45,6,7,60.98
3.46,76.17,10,67.63,7.25,4.66,3,9,1.04,1,4,75.32
8.97,64.36,14,42.94,8.82,3.16,5,7,1.94,7,9,100.0
4.74,89.64,11,59.97,7.05,1.44,2,9,1.95,10,3,96.51
6.68,78.88,7,34.3,4.37,3.19,5,8,7.02,7,8,73.5
1.72,81.73,19,45.67,6.3,1.43,8,5,1.59,3,8,80.38
1.92,89.9,5,55.43,6.67,1.47,8,9,6.3,4,4,81.77
0.41,69.8,2,60.71,4.85,2.0,2,7,3.69,6,7,63.88
1.69,95.75,12,98.42,4.61,4.26,2,5,7.99,7,4,90.66
2.79,76.65,12,86.55,7.21,2.5,3,8,6.71,4,1,84.13
1.77,57.9,1,81.62,4.51,3.39,6,7,5.92,10,1,71.28
0.89,84.79,4,67.59,5.82,1.96,2,9,6.97,9,1,70.96
1.21,89.66,16,88.8,8.47,1.32,7,10,5.07,9,2,99.28
4.61,65.84,5,53.75,9.79,4.77,7,1,6.75,9,6,82.45
2.06,92.86,1,79.62,8.31,3.02,5,9,2.09,10,10,91.31
3.64,95.31,3,99.56,9.96,4.67,3,7,0.78,6,5,94.72
5.03,63.85,10,52.02,8.19,1.02,4,1,4.93,2,2,72.27
6.9,99.18,7,77.18,5.76,0.73,1,1,3.48,2,8,88.01
0.39,57.04,11,89.1,8.03,4.28,5,5,3.41,4,9,78.88
7.99,60.1,7,94.11,8.21,3.4,2,8,4.21,9,7,100.0
6.28,59.21,10,80.26,6.23,0.93,5,9,2.89,3,9,93.85
0.82,94.7,19,49.85,4.11,1.35,4,6,5.01,6,4,77.92
8.74,82.71,7,52.84,8.22,4.0,1,10,0.24,2,7,86.78
9.21,57.61,7,31.45,4.13,2.27,4,8,7.76,1,5,66.95
0.61,72.02,16,83.26,7.79,3.35,4,6,7.4,5,5,81.13
2.77,80.76,19,32.99,4.98,1.59,8,6,7.48,8,3,86.1
8.06,54.17,19,90.53,7.39,1.91,7,4,2.92,10,9,100.0
7.48,94.12,15,38.31,7.02,4.95,6,5,4.26,10,10,94.69
1.85,90.18,13,42.03,4.08,1.24,2,2,7.63,2,5,60.33
2.09,75.26,10,63.36,6.18,2.53,3,3,7.22,10,6,74.94
3.7,98.36,6,81.65,7.61,4.22,5,3,6.32,9,3,82.53
4.85,70.89,15,39.73,9.09,1.2,2,5,3.26,8,10,87.53
6.18,99.21,12,60.8,9.33,2.08,8,5,4.51,3,7,98.02
3.69,83.4,14,63.8,6.9,3.08,7,6,6.34,1,9,96.36
4.63,81.73,15,44.86,8.37,2.41,5,5,2.18,4,9,85.3
7.47,58.3,20,38.09,5.9,2.3,3,6,5.01,8,10,88.96
0.37,94.1,8,88.55,6.05,1.81,6,8,6.62,3,10,82.08
2.52,71.37,2,65.17,5.17,2.93,2,2,5.66,10,5,66.95
7.13,58.11,18,31.01,7.37,3.12,7,4,3.84,2,7,84.45
8.95,50.63,19,86.21,5.89,3.27,0,6,4.68,7,3,100.0
5.12,77.99,4,98.66,4.51,0.35,2,5,7.91,4,6,100.0
5.32,76.37,9,72.41,8.11,3.16,4,1,4.82,6,8,81.89
1.07,85.97,16,65.26,8.25,4.77,4,9,6.28,5,8,85.66
4.47,94.51,14,91.49,6.16,2.7,1,3,5.81,2,2,84.45
5.33,53.97,7,96.68,4.46,3.58,7,2,5.61,10,6,95.65
2.42,86.57,14,82.82,6.56,2.78,4,9,5.73,2,7,95.78
2.69,59.37,20,61.18,6.65,4.27,6,7,3.64,9,7,95.36
3.77,92.91,13,71.46,8.01,4.65,6,5,3.79,10,3,91.01
0.2,90.95,19,79.07,5.89,0.92,4,6,3.74,2,9,91.19
3.22,77.04,6,43.6,8.1,2.18,7,4,0.27,8,2,64.72
2.11,85.51,20,61.3,9.23,1.96,8,1,1.93,8,3,80.93
3.27,65.72,11,88.09,5.42,2.03,3,4,1.24,1,2,75.89
1.2,73.56,16,75.83,9.87,0.63,3,9,7.09,1,9,85.97
8.91,91.08,16,58.78,6.32,4.07,7,1,2.2,4,4,100.0
5.94,72.96,9,76.44,5.6,0.18,0,10,1.11,2,2,93.19
6.79,67.89,18,38.28,6.53,2.64,3,3,0.96,1,3,77.61
7.89,74.71,13,58.1,4.57,3.31,5,5,5.6,9,4,94.79
4.98,91.41,10,85.52,4.75,1.04,3,7,0.05,3,10,100.0
0.87,66.76,1,45.44,6.49,4.53,5,9,3.77,1,6,52.16
5.37,58.69,17,43.02,8.57,4.19,4,6,0.95,2,5,80.2
5.87,85.6,6,96.56,9.4,2.36,8,3,6.8,8,3,100.0
7.45,91.3,11,44.69,7.99,2.06,8,7,7.67,5,10,92.7
4.32,55.03,1,48.26,4.63,1.18,3,4,7.67,7,8,65.65
1.28,61.99,19,97.87,8.03,3.65,3,3,3.54,6,8,100.0
2.84,57.1,17,81.43,7.81,0.66,7,7,5.16,1,7,93.05
3.63,67.4,5,78.97,8.83,3.4,3,7,4.8,6,3,74.9
6.46,72.52,9,89.7,8.95,4.21,1,4,2.8,7,1,100.0
5.71,87.44,19,38.11,9.21,1.14,1,7,3.55,4,5,90.23
3.56,82.56,14,79.42,6.48,4.33,0,2,0.51,8,1,87.63
9.87,81.05,4,65.26,8.19,0.17,4,1,6.37,8,6,95.81
6.06,67.62,19,88.04,5.61,4.56,5,2,1.93,7,7,100.0
2.37,92.07,2,65.57,10.0,0.59,8,4,3.68,2,5,77.09
1.02,73.56,4,73.42,5.05,3.23,4,8,3.84,6,4,71.46
1.53,98.96,7,63.44,4.06,1.25,5,3,4.49,6,2,73.55
2.46,81.71,7,63.47,4.89,4.18,5,10,6.54,7,5,84.29
1.61,56.31,7,83.76,8.66,2.56,2,6,5.54,6,9,81.32
1.87,83.81,11,74.0,6.68,0.68,3,6,5.3,2,4,75.63
2.85,66.26,7,74.33,6.69,2.85,0,9,4.21,8,2,68.33
1.73,84.32,10,61.52,9.73,2.04,3,9,0.77,4,6,80.87
8.97,53.48,13,67.18,9.52,3.31,0,4,3.22,9,8,93.79
0.8,58.74,7,82.2,5.87,4.41,4,9,7.66,8,2,70.26
5.25,92.79,9,87.82,5.25,2.05,7,6,7.96,3,9,97.46
4.1,61.36,6,78.76,9.09,1.45,7,2,5.84,3,7,75.04
9.82,91.85,16,94.69,9.44,0.07,4,10,1.82,8,2,100.0
1.12,63.96,3,87.42,7.25,2.87,1,6,0.82,2,5,68.57
3.98,82.14,12,69.33,7.78,2.01,5,2,3.32,9,5,91.68
9.69,84.71,3,77.0,5.54,1.87,0,8,6.85,4,7,93.45
8.66,75.63,4,94.84,8.8,0.91,6,4,5.77,6,5,100.0
8.17,65.27,3,73.34,7.79,2.15,3,5,7.07,3,6,80.04
2.58,60.63,17,87.74,7.02,4.92,4,8,4.93,3,9,90.93
1.71,51.66,5,78.22,4.36,1.49,5,8,1.04,3,3,75.17
6.69,65.2,1,68.64,9.5,3.0,0,6,0.92,10,3,82.32
9.29,82.66,10,46.93,7.69,3.88,8,4,0.38,2,8,100.0
5.57,96.92,13,59.82,5.16,3.75,3,1,4.54,8,10,94.44
5.72,93.56,4,97.74,7.64,1.64,7,7,1.94,9,6,100.0
2.8,88.3,5,76.04,8.06,3.05,4,8,5.88,8,10,94.35
7.69,89.42,9,69.51,7.15,4.36,7,9,5.49,10,3,100.0
1.87,83.25,7,95.31,8.31,0.08,0,2,2.54,3,2,81.55
3.24,63.01,13,71.06,7.49,2.18,7,1,1.41,7,2,85.48
4.25,95.36,2,66.83,9.69,1.12,3,4,0.82,10,2,84.95
5.08,83.54,11,83.15,4.32,1.94,1,5,5.9,2,5,91.78
2.42,78.02,15,79.89,4.64,2.08,5,10,3.6,4,5,87.1
1.15,55.55,16,43.52,5.04,3.73,1,1,2.59,6,1,46.55
6.11,72.35,0,62.99,8.14,0.47,4,5,6.85,5,2,78.92
2.89,73.02,9,63.08,7.87,2.56,1,6,4.75,9,2,78.2
5.81,93.23,9,56.48,9.35,2.82,2,3,4.14,10,4,96.77
1.54,77.33,20,66.21,8.4,2.47,5,7,5.95,4,7,82.69
4.81,69.02,1,58.92,7.05,3.66,0,6,6.52,5,3,63.62
5.33,98.84,8,43.95,9.95,1.92,5,4,5.49,4,5,80.37
0.52,55.54,12,58.87,5.6,4.72,2,3,3.52,8,9,73.03
3.37,71.13,15,35.06,9.0,2.41,6,5,3.03,8,5,83.66
1.34,52.1,17,70.31,6.56,2.86,1,3,6.17,3,9,71.77
0.63,87.0,18,89.76,7.89,4.13,5,10,4.14,1,1,87.85
9.9,95.9,11,80.77,8.36,1.38,7,9,5.64,6,9,100.0
3.22,64.0,7,55.23,7.8,0.38,0,9,7.12,2,5,68.36
8.1,92.92,16,36.09,4.84,3.54,8,6,7.33,2,8,96.71
2.55,64.61,14,44.15,6.66,2.42,4,6,2.22,3,5,81.22
6.82,95.54,9,68.18,7.37,4.48,4,4,1.5,8,6,100.0
7.6,87.7,14,44.49,9.09,4.91,4,4,2.09,3,8,94.48
5.96,90.25,14,68.08,6.66,2.0,5,2,6.01,7,2,95.86
4.72,50.9,6,46.21,9.51,2.08,1,10,2.96,10,3,70.92
4.12,98.14,12,89.42,6.64,2.04,5,4,1.39,10,9,100.0
3.49,86.33,16,57.81,7.29,1.62,3,8,0.79,9,5,93.64
9.3,65.24,8,47.19,8.78,3.91,7,10,2.62,8,5,96.6
8.31,91.47,7,86.86,7.5,3.79,8,2,1.09,1,9,100.0
9.65,64.08,19,54.0,9.76,2.39,8,9,1.25,7,10,100.0
1.24,93.64,20,37.8,7.96,0.22,7,1,5.47,7,3,77.53
7.31,55.63,17,69.93,7.14,1.55,2,2,0.16,8,4,96.01
9.38,85.18,12,70.71,4.14,1.46,3,2,0.94,10,7,100.0
1.81,77.03,15,80.03,6.48,4.06,0,6,6.75,5,2,76.12
0.66,54.83,8,46.82,5.8,0.44,8,7,6.76,10,8,74.62
7.41,62.09,11,61.06,8.49,4.03,4,3,2.63,9,5,92.29
5.74,50.62,11,49.77,5.25,3.35,5,9,0.7,9,1,79.04
8.42,73.44,5,35.67,5.23,3.66,2,5,5.64,8,3,72.46
1.4,65.06,18,91.36,5.14,2.16,7,5,2.88,6,9,95.83
7.95,79.92,6,81.02,4.75,3.4,6,4,0.36,6,5,94.77
2.02,64.86,2,51.1,5.87,3.05,0,9,1.26,1,8,53.13
